user_id,item_id
76561197970982479,10
Js41637,10
Evcentric,1200
Riot-punch,10
Doctr,300
Minxisbetterthanpotatoes,50
Nitemarepk,240
Themanwich,220
Maplemage,240
Corrupted_soul,4000
Jorellpogi,240
Cadmusthreepointoh,3920
76561198064823719,220
Meatcompany,240
76561198089393905,4000
76561198156664158,4000
76561198077246154,4000
Weiedkrsat,10
Thequeenpanda,300
Death-hunter,300
Turneddreamsintoanempire,15100
Djkamber,4000
Rainbow-dashie,4000
Btuty8trgt,4000
76561198043472122,240
Marbleshrine,3910
Fdcfelipefdc,4000
Bbaekhyun,4000
Moomfina,300
Ppanther,240
Absolutly_nothing,4000
Devvonst,4000
Fr0stedline,10
76561198058373434,220
76561198048353577,4000
76561198072190369,91700
76561198066046412,4000
Tru_mu_,4000
76561198070565427,4000
Savageeeee,4000
Kanadetheneko,220
Leaf_light_moscow,4000
Goawayzach,220
76561198054540475,220
76561198100701221,10
76561198085547365,4000
76561198061252210,220
Officialshroomsy,240
76561198056147391,4000
8bit-ninja,4000
76561198071500702,4000
76561198099905030,220
76561198047407223,4000
Latiano,4000
Kongtape,220
Boydeer,220
76561198100297613,4000
Vvillis,240
76561198083226897,105600
76561198075277292,620
76561198094630961,4000
12549,240
76561198028895010,3390
76561198092411867,4000
76561198170198366,8190
Diego9031,4000
Iampiepiepie,4000
76561198079863506,4000
Jarrodtrim,10
76561198078738103,4000
76561198067936203,4000
76561198079770573,4000
Uptheass,4000
76561197977385164,220
76561198075491015,4000
76561198087586464,240
76561198086878953,220
Derp-e,4000
76561198070194565,320
Rivtex,320
Firefreddy,220
Utnerd24,10
Sandwiches1,2400
76561198093083895,620
76561198138053270,4000
76561198062422084,4000
Life-of-blu,4000
Captianautismo,240
Maxgp,4000
Appatheswagbison,4000
Knightboy991,4000
76561198034678103,4000
76561198075895633,240
Thedropix101,4000
Kube134,70
Iamthekingofbrowntown,220
Gdxsd,280
Yookobz,1200
Posiblydead,220
Mossy_gaming,620
76561198093817084,4000
76561198102421718,4000
76561198079045885,240
76561198087407319,4000
76561198074466513,12120
Damo131,4000
19702316748,4000
Frysthjarte,105600
76561198056741844,17470
Sad-commie,240
76561198030567998,70
Coldaniel,4000
Therealmorty,240
Itslonk,70
Dedroidurelookin4,1250
Berserklejerker,4000
76561198088799241,240
76561198061730629,240
Yohunz,2590
Possessioniskey,4000
76561198072732874,4000
76561198093112529,4000
Sevqu,4000
Whiteofwolfing,4000
76561198056857968,70
Sergarino,4000
Pyrocreed,320
76561198052897627,17480
76561198081962345,4000
76561198039266268,500
76561198094224872,240
76561198073210139,4000
Nozomikat,4000
76561198076933844,240
76561198072186059,240
Xfluttersx,10
76561198068621601,24240
76561198056290589,240
Ii_voltage_ii,4000
76561198097762318,4000
Hirukaz,4000
Stelerforyou,240
76561198183396245,4000
Shinra420,240
Xx-woods,300
Kevinator23,240
Tonyballoney,4000
76561198090715178,4000
Child_vs_puddle,4000
76561198073784601,4000
Mimimomoma,30
De_butl3r,4000
76561198157999555,4000
76561198027947401,4000
Bluezap1,10
76561198074200011,326460
Jonasdbomb,70
L1j1n,4000
Lord_exploit,240
76561198079106676,220
76561198092244787,4000
Sanctus94,4000
76561197990792016,10
Avatar715,300
76561198073987767,4000
Fluxxyz,4000
76561198092150873,4000
Yieuwmage,105600
Nfkted_cs,10
A-very-sly-person,4000
76561197994493402,10
76561198065656175,3910
76561198188979775,4000
97396295,550
Xofushiox,10
76561198126640317,4000
Demonicwolvz,4000
Diemadchenschanderin,1900
76561198072706529,240
76561198215949741,730
Ggargula,220
Myther43,10
Getf0kinn0sc0pedm9,4000
76561198141443390,4700
76561198031924053,22380
76561198097333029,4000
Whodafuqisthisguilao,550
76561198072205329,4000
Icamebackbitches,4000
Magjiikal,240
Ohnospaghet,10
76561198050347115,23310
2768820078,4000
76561198049968536,4000
76561198056392326,29800
2d4nk4m3,300
76561198074003102,240
76561198078478151,10
Exiaez,4000
Burningchicken3,220
76561198066835162,240
76561198069593452,113400
Undietaker,240
76561198095921854,4700
Eizanaratofujimaki,4000
Pootisspensor,50
Angorabug,4000
Tecool,4000
Zyhgarthestarweaver,300
2xdelorean,4000
Washington_,70
76561198088944293,300
76561198061769804,29800
76561198051258119,550
Nubquake123,4000
Pyromanic,240
76561198109656922,4000
76561198149432604,620
Unplanned_stategy,8930
Cobrazor,4000
Relesprit,4000
76561198090294067,4000
Talove112345,4000
76561198055094875,4000
Witchhunter4542,240
76561198203244300,105600
Pwrt,4000
Wantmahbody,4000
76561198115868847,4700
Benedictcuminherbatch,1250
76561198031207016,34030
76561198043458582,4000
Smashiroshh,4000
Shark854,4000
76561198062876401,220
76561198011661078,10
Pablosanches,70
Killbunny38,4000
76561198047630659,240
76561198069713121,4000
1997-07-06_j077,4000
76561198076248461,4000
1337lolroflmao,240
76561198080832419,105600
76561198151645088,300
Iaa_recon_dropbear,220
Goonbagger,4000
76561198060039459,4000
Ozfuratlas,4000
76561198065593074,4000
Madmax64,4000
76561198044169764,300
Euzi,47870
Lucasrash,4000
76561198082845362,730
76561198087767019,4000
Thisissohardtomakeoneup,4000
76561198087010391,4000
66666669999999,20
76561198061174192,300
Doafapbeforeanap,8500
Remixofficalsteam,240
Wilfire77,240
76561198042730234,220
76561198086476445,240
76561198085016240,240
76561198060808273,4000
76561198084390807,10180
76561198003688205,10
Mastic,70
Scooterinooo,220
76561198028286104,4000
76561198088447673,10
Tarjla,240
Deathnz1,10
Readingthis4noobs,4000
Sonicmcgamer,240
Xxboss1xx,104900
