app_name,item_id
Lost summoner kitty,761140
Ironbound,643980
Real pool 3d - poolians,670290
弹炸人2222,767400
Battle royale trainer,772540
Snow - all access pro pass,774277
Snow - all access legend pass,774278
Army of tentacles: (not) a cthulhu dating sim: black goat of the woods edition,770380
Beach rules,768880
Planetarium 2 - zen odyssey,765320
The first thrust of god,773650
Snow - starter pack,774271
The first thrust of god - all aircrafts,773690
Snow - lifetime pack,774279
The warrior of treasures,768060
Rc plane 3 - canyon scenario,775880
Rc plane 3 - f-53b,775881
Dinoblaster,653960
Carmageddon max pack,282010
Half-life,70
Fallen mage,752360
Vaporwave simulator,766850
Bitcoin clicker,716110
Disciples ii: gallean's return,1640
Disciples ii: rise of the elves,1630
The ship: murder party,2400
Souland,759920
Tarotica voo doo,603280
Chronicles of vinland,753110
Orbitality,753100
Atomic adam: episode 1,764280
Advent rising,3800
Defcon,1520
The ship: single player,2420
Garry's mod,4000
Race - the wtcc game,4230
Zen of sudoku,4900
Gumboy - crazy adventures™,2520
Ghost master®,6200
Vegas: make it big™,6210
Dreamfall: the longest journey,6300
Flatout 2™,2990
Flatout,6220
Lost planet™: extreme condition,6510
Civcity: rome,3980
Arx fatalis,1700
The longest journey,6310
Civilization iv®: warlords,3990
Railroad tycoon 3,7610
Sid meier's railroads!,7600
Railroad tycoon ii platinum,7620
X-com: terror from the deep,7650
Tomb raider: anniversary,8000
Devil may cry® 3 special edition,6550
Sam & max 101: culture shock,8200
Final doom,2290
Sam & max 102: situation: comedy,8210
Ultimate doom,2280
Master levels for doom ii,9160
Doom ii,2300
Wolfenstein 3d,2270
Return to castle wolfenstein,9010
Quake mission pack 1: scourge of armagon,9040
Spear of destiny,9000
Bloodrayne,3810
Quake mission pack 2: dissolution of eternity,9030
Quake,2310
Genesis rising,3230
"Warhammer® 40,000: dawn of war® – winter assault",9310
Bioshock™,7670
"Warhammer® 40,000: dawn of war® - game of the year edition",4570
"Warhammer® 40,000: dawn of war® - dark crusade",4580
Rome: total war™ - collection,4760
Rome: total war™ - alexander,4770
Mystery case files: madame fate®,50970
Manhunt,12130
Midnight club 2,12160
Max payne 2: the fall of max payne,12150
Tomb raider: legend,7000
Max payne,12140
Command & conquer: red alert 3,17480
Puzzlequest: challenge of the warlords,12500
Culpa innata,12310
Prison tycoon 3™: lockdown,12510
Hunting unlimited™ 2008,12530
18 wheels of steel: american long haul,12520
Conflict: denied ops,8100
Arma: combat operations,2780
Desperados 2: cooper's revenge,9710
Death to spies,9800
Act of war: high treason,9760
Rollercoaster tycoon® 3: platinum,2700
Act of war: direct action,2710
Unreal 2: the awakening,13200
Unreal gold,13250
Ninja reflex: steamworks edition,13000
Tom clancy's splinter cell®,13560
Far cry®,13520
Unreal tournament: game of the year edition,13240
Tom clancy's rainbow six® vegas,13540
Silent hunter® iii,15210
Virtual villagers - the secret city,16180
Mystery p.i.™ - the vegas heist,3520
Luxor,15970
Reaxxion,15950
Little farm,15960
7 wonders ii,15900
Luxor amun rising,15910
Luxor 3,15930
Petz® horsez® 2,15160
Luxor 2,15920
Rayman raving rabbids™,15080
Silent hunter®: wolves of the pacific,15200
Il-2 sturmovik: 1946,15320
Silent hunter®: wolves of the pacific u-boat missions,15240
Bone: out from boneville,8310
Midnight outlaw: 6 hours to sunup,12600
Bone: the great cow race,8320
Sprint cars road to knoxville,12590
Ride! carnival tycoon,12560
Mahjongg investigations: under suspicion,12540
Dracula origin,11050
Sherlock holmes - nemesis,11040
Eternity's child,19500
Pacific storm allies,11260
Tank universal,19200
Flatout: ultimate carnage,12360
Oddworld: abe's exoddus®,15710
Oddworld: abe's oddysee®,15700
Gtr evolution expansion pack for race 07,8660
X-com: enforcer,7770
X-com: apocalypse,7660
X-com: ufo defense,7760
S.t.a.l.k.e.r.: clear sky,20510
Crysis warhead®,17330
Crysis,17300
X-com: interceptor,7730
The witcher: enhanced edition director's cut,20900
Multiwinia,1530
Stcc - the game 1 - expansion pack for race 07,8690
Children of the nile: alexandria,17120
Sid meier's civilization iv: colonization,16810
Tom clancy's rainbow six® 3 gold,19830
Lego batman,21000
City life 2008,4460
Hinterland,17140
Brothers in arms: hell's highway™,15390
Gravitron 2,21300
Xpand rally xtreme,3050
Heroes of might & magic v: hammers of fate,15380
Brothers in arms: earned in blood™,19800
Heroes of might & magic v: tribes of the east,15370
