app_name,release_year,item_id,developer,Action,Adventure,Animation &amp; Modeling,Audio Production,Casual,Design &amp; Illustration,Early Access,Education,Free to Play,Indie,Massively Multiplayer,Photo Editing,RPG,Racing,Simulation,Software Training,Sports,Strategy,Utilities,Video Production,Web Publishing
Lost summoner kitty,2018,761140,Kotoshiro,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
Ironbound,2018,643980,Secret level srl,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
Real pool 3d - poolians,2017,670290,Poolians.com,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
弹炸人2222,2017,767400,彼岸领域,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Battle royale trainer,2018,772540,Trickjump games ltd,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Snow - all access pro pass,2018,774277,Poppermost productions,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
Snow - all access legend pass,2018,774278,Poppermost productions,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
Army of tentacles: (not) a cthulhu dating sim: black goat of the woods edition,2018,770380,Stegalosaurus game development,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Beach rules,2018,768880,Copperpick studio,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Planetarium 2 - zen odyssey,2018,765320,Ghulam jewel,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
The first thrust of god,2018,773650,Apillo,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
Snow - starter pack,2018,774271,Poppermost productions,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
The first thrust of god - all aircrafts,2018,773690,Apillo,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
Snow - lifetime pack,2018,774279,Poppermost productions,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
The warrior of treasures,2018,768060,Tero lunkka,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Rc plane 3 - canyon scenario,2017,775880,Frozenpepper,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
Rc plane 3 - f-53b,2017,775881,Frozenpepper,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
Dinoblaster,2018,653960,Casey labrack,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Carmageddon max pack,1997,282010,Stainless games ltd,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Half-life,1998,70,Valve,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fallen mage,2016,752360,Dev4play,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Vaporwave simulator,2018,766850,Etggames,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Bitcoin clicker,2018,716110,"Lalalazero,urbanoff",0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Disciples ii: gallean's return,2006,1640,Strategy first,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Disciples ii: rise of the elves,2006,1630,Strategy first,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The ship: murder party,2006,2400,Outerlight ltd.,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Souland,2017,759920,Ultraint,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Tarotica voo doo,2017,603280,Tpm.co soft works,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Chronicles of vinland,2017,753110,Wonderbox games,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Orbitality,2017,753100,Wonderbox games,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Atomic adam: episode 1,2017,764280,Mad unicorn games,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advent rising,2005,3800,Glyphx games,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Defcon,2006,1520,Introversion software,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
The ship: single player,2006,2420,Outerlight ltd.,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
