user_id,playtime,item_id
76561197970982479,6,10
Js41637,0,10
Evcentric,923,1200
Riot-punch,0,10
Doctr,1131,300
Minxisbetterthanpotatoes,256,50
Nitemarepk,3529,240
Themanwich,219,220
Maplemage,5751,240
Corrupted_soul,2644,4000
Jorellpogi,3519,240
Cadmusthreepointoh,0,3920
76561198064823719,2261,220
Meatcompany,3209,240
76561198089393905,47269,4000
76561198156664158,269,4000
76561198077246154,4317,4000
Weiedkrsat,328,10
Thequeenpanda,57,300
Death-hunter,582,300
Turneddreamsintoanempire,972,15100
Djkamber,868,4000
Rainbow-dashie,253,4000
Btuty8trgt,230,4000
76561198043472122,0,240
Marbleshrine,92,3910
Fdcfelipefdc,860,4000
Bbaekhyun,186,4000
Moomfina,425,300
Ppanther,12870,240
Absolutly_nothing,5217,4000
Devvonst,5032,4000
Fr0stedline,580,10
76561198058373434,260,220
76561198048353577,84234,4000
76561198072190369,0,91700
76561198066046412,37,4000
Tru_mu_,1730,4000
76561198070565427,4944,4000
Savageeeee,6702,4000
Kanadetheneko,1406,220
Leaf_light_moscow,4548,4000
Goawayzach,2583,220
76561198054540475,89,220
76561198100701221,13,10
76561198085547365,11304,4000
76561198061252210,1250,220
Officialshroomsy,2,240
76561198056147391,1537,4000
8bit-ninja,6296,4000
76561198071500702,314,4000
76561198099905030,875,220
76561198047407223,3802,4000
Latiano,14577,4000
Kongtape,777,220
Boydeer,0,220
76561198100297613,430,4000
Vvillis,81,240
76561198083226897,12932,105600
76561198075277292,600,620
76561198094630961,30778,4000
12549,468,240
76561198028895010,198,3390
76561198092411867,1919,4000
76561198170198366,115,8190
Diego9031,21928,4000
Iampiepiepie,530,4000
76561198079863506,384,4000
Jarrodtrim,337,10
76561198078738103,303466,4000
76561198067936203,1828,4000
76561198079770573,1696,4000
Uptheass,469,4000
76561197977385164,0,220
76561198075491015,7013,4000
76561198087586464,13,240
76561198086878953,1516,220
Derp-e,174,4000
76561198070194565,2267,320
Rivtex,3,320
Firefreddy,93,220
Utnerd24,5,10
Sandwiches1,374,2400
76561198093083895,3123,620
76561198138053270,102731,4000
76561198062422084,1118,4000
Life-of-blu,304,4000
Captianautismo,3920,240
Maxgp,7648,4000
Appatheswagbison,15589,4000
Knightboy991,9772,4000
76561198034678103,2545,4000
76561198075895633,442,240
Thedropix101,3818,4000
Kube134,4,70
Iamthekingofbrowntown,904,220
Gdxsd,285,280
Yookobz,0,1200
Posiblydead,987,220
Mossy_gaming,708,620
76561198093817084,8144,4000
76561198102421718,59192,4000
76561198079045885,2867,240
76561198087407319,21,4000
76561198074466513,36,12120
Damo131,415,4000
19702316748,1545,4000
Frysthjarte,15945,105600
76561198056741844,12,17470
Sad-commie,10,240
76561198030567998,21,70
Coldaniel,7727,4000
Therealmorty,13940,240
Itslonk,8,70
Dedroidurelookin4,250,1250
Berserklejerker,20913,4000
76561198088799241,49,240
76561198061730629,14,240
Yohunz,0,2590
Possessioniskey,8531,4000
76561198072732874,2967,4000
76561198093112529,5080,4000
Sevqu,39,4000
Whiteofwolfing,36840,4000
76561198056857968,451,70
Sergarino,37016,4000
Pyrocreed,124,320
76561198052897627,277,17480
76561198081962345,18539,4000
76561198039266268,6,500
76561198094224872,2150,240
76561198073210139,2050,4000
Nozomikat,9972,4000
76561198076933844,0,240
76561198072186059,3,240
Xfluttersx,17,10
76561198068621601,40,24240
76561198056290589,1908,240
Ii_voltage_ii,6398,4000
76561198097762318,1838,4000
Hirukaz,2466,4000
Stelerforyou,445,240
76561198183396245,307,4000
Shinra420,6864,240
Xx-woods,150,300
Kevinator23,1641,240
Tonyballoney,263,4000
76561198090715178,9098,4000
Child_vs_puddle,1084,4000
76561198073784601,9129,4000
Mimimomoma,200,30
De_butl3r,8263,4000
76561198157999555,488,4000
76561198027947401,270,4000
Bluezap1,0,10
76561198074200011,258,326460
Jonasdbomb,0,70
L1j1n,88,4000
Lord_exploit,50,240
76561198079106676,270,220
76561198092244787,2617,4000
Sanctus94,392,4000
76561197990792016,12108,10
Avatar715,1159,300
76561198073987767,196,4000
Fluxxyz,3952,4000
76561198092150873,5478,4000
Yieuwmage,2706,105600
Nfkted_cs,1410,10
A-very-sly-person,3092,4000
76561197994493402,1037,10
76561198065656175,75,3910
76561198188979775,2497,4000
97396295,13226,550
Xofushiox,4523,10
76561198126640317,565,4000
Demonicwolvz,3990,4000
Diemadchenschanderin,194,1900
76561198072706529,290,240
76561198215949741,38830,730
Ggargula,408,220
Myther43,50,10
