user_id,year,genre,playtime
--000--,2014,Indie,925
--000--,2014,Simulation,925
--ace--,2014,Indie,160
--ace--,2014,Simulation,160
--ionex--,2015,Action,105
-kainey9777,2015,Action,0
-kainey9777,2015,Casual,0
-kainey9777,2015,Free to play,0
-kainey9777,2015,Massively multiplayer,0
-kainey9777,2015,Sports,0
0-3-0,2014,Strategy,26
00000000000000000001227,2013,Action,2861
00000000000000000001227,2014,Action,2861
001000111000111000010,2013,Action,198
00454211432342,2015,Action,1067
00810cccyyykkk,2013,Indie,0
00810cccyyykkk,2013,Strategy,0
0099654321891111,2014,Action,2173
01001000-01101001,2014,Indie,2124
01001000-01101001,2014,Simulation,2124
011011010111001000101110,2015,Action,0
011111135489484797,2013,Indie,15440
011111135489484797,2013,Simulation,15440
01189958889189157253,2013,Action,206
01189958889189157253,2014,Action,412
01221733,2015,Indie,3646
01221733,2015,Simulation,3646
01shan,2015,Indie,26
01shan,2015,Simulation,26
022899,2012,Indie,48
022899,2012,Simulation,48
022899,2013,Indie,96
022899,2013,Simulation,96
03092002,2013,Indie,971
03092002,2013,Simulation,971
042153100,2014,Rpg,244
04280122,2013,Action,1306
0432-026-no,2014,Indie,378
0432-026-no,2014,Simulation,378
0468313256,2014,Simulation,0
0468313256,2014,Strategy,0
05041129,2015,Indie,222
05041129,2015,Simulation,222
05461025,2015,Action,998
05461025,2015,Adventure,998
05461025,2015,Casual,998
05461025,2015,Free to play,998
05461025,2015,Indie,998
0700464574757,2015,Indie,23391
0700464574757,2015,Simulation,23391
07846813956825,2014,Action,512
0896398616,2014,Indie,14554
0896398616,2014,Simulation,14554
09106,2014,Action,1117
09106,2015,Action,1117
091263,2013,Action,8460
091263,2014,Action,2820
094553552,2013,Indie,3700
094553552,2013,Simulation,3700
094553552,2014,Indie,3700
094553552,2014,Simulation,3700
095732,2015,Indie,1723
095732,2015,Simulation,1723
098766catdogbnmnnn,2013,Indie,17936
098766catdogbnmnnn,2013,Simulation,17936
098766catdogbnmnnn,2015,Indie,8968
098766catdogbnmnnn,2015,Simulation,8968
1001101001110101,2014,Action,940
10051997,2012,Indie,403
10051997,2012,Simulation,403
10051997,2014,Indie,1209
10051997,2014,Simulation,1209
101010101111,2014,Indie,2916
101010101111,2014,Simulation,2916
1011001,2014,Indie,14706
1011001,2014,Simulation,14706
1011001,2015,Indie,2451
1011001,2015,Simulation,2451
10197226,2013,Action,0
102598615,2014,Indie,56096
102598615,2014,Simulation,56096
10936543792,2013,Action,1397
10936543792,2014,Action,1397
10oyard,2014,Action,191
111190869,2015,Action,349
111222333444555666888,2015,Action,3044
111zerosen,2014,Action,25070
1122305938,2014,Action,5682
113595,2014,Indie,2558
113595,2014,Simulation,2558
117arbiter,2014,Indie,3758
117arbiter,2014,Simulation,3758
117arbiter,2015,Indie,3758
117arbiter,2015,Simulation,3758
119922883377446655123456789,2015,Action,230
120445,2013,Indie,2473
120445,2013,Simulation,2473
120488700,2013,Indie,25284
120488700,2013,Simulation,25284
1212343456567878909,2015,Indie,722
1212343456567878909,2015,Simulation,722
12125,2013,Action,280
12223536,2015,Action,651
123123123131231231,2014,Indie,0
123123123131231231,2014,Simulation,0
12312312332123,2015,Indie,8230
12312312332123,2015,Simulation,8230
123232343432555686888554456555,2014,Action,76
12341846,2014,Action,1550
12345676543456789098543,2013,Action,5576
12345676543456789098543,2014,Action,5576
1234567810132,2014,Indie,1012
1234567810132,2014,Simulation,1012
12345678901234567890123456567890,2014,Indie,14600
12345678901234567890123456567890,2014,Simulation,14600
12345678901234567890123456567890,2015,Indie,29200
12345678901234567890123456567890,2015,Simulation,29200
1234567890192837465,2015,Action,8689
12345678910a,2014,Indie,139
12345678910a,2014,Simulation,139
123456789874561232145678,2012,Action,463
123456789diamond987654321,2013,Indie,570
123456789diamond987654321,2013,Simulation,570
1234567io9872345678765432,2014,Action,15
1234567io9872345678765432,2015,Action,60
1234865654,2014,Action,362
12391939123,2013,Action,77
123joshua321,2015,Indie,2601
123joshua321,2015,Simulation,2601
12536475869trhgsdf,2014,Action,29121
12779,2014,Strategy,10425
129874182,2014,Action,877
129874182,2015,Action,877
12_gauge_org,2015,Action,0
12_gauge_org,2015,Free to play,0
12_gauge_org,2015,Indie,0
12_gauge_org,2015,Sports,0
12_gauge_org,2015,Strategy,0
12das,2014,Adventure,3
12das,2014,Indie,3
12das,2015,Adventure,3
12das,2015,Indie,3
1300655506nigga,2014,Action,96
131312,2014,Action,390
131467132,2014,Action,1331
1321742413,2013,Action,7167
1337666133766613376661337,2015,Action,3917
1337lolroflmao,2013,Action,11499
1337lolroflmao,2014,Action,7666
1337lolroflmao,2015,Action,7666
1337putin,2015,Action,214
1343534566,2014,Indie,9320
1343534566,2014,Simulation,9320
13457856281,2015,Action,37
135781,2014,Action,22
135781,2015,Action,44
13971397,2014,Action,248
13lazer,2012,Action,15
14372193,2014,Indie,78
14372193,2014,Simulation,78
1440454,2014,Action,8
1440454,2015,Action,8
1452221660414,2013,Action,85384
1452221660414,2014,Action,42692
1457184935981,2014,Action,357
1457184935981,2015,Action,714
14725836900,2014,Action,0
14725836900,2014,Indie,0
150010792,2015,Action,546
154352,2014,Action,56
154352,2015,Action,56
154930493,2015,Action,587
15511551,2013,Indie,1600
15511551,2013,Simulation,1600
15511551,2014,Indie,3200
15511551,2014,Simulation,3200
157645,2014,Action,357
15832789427,2013,Action,1108
15934,2013,Action,363
15934,2014,Action,1089
159zse159,2014,Action,390
1626466724893520,2014,Indie,282
1626466724893520,2014,Simulation,282
1626466724893520,2015,Indie,376
1626466724893520,2015,Simulation,376
16538,2013,Action,999
16538,2014,Action,999
169420666,2014,Indie,22618
169420666,2014,Simulation,22618
17101710,2013,Action,42
17101710,2015,Action,21
171516,2013,Action,534
171516,2014,Action,1602
171516,2015,Action,534
17291799,2012,Action,1537
174gamecuman700kngkakak,2014,Indie,0
174gamecuman700kngkakak,2014,Simulation,0
17829463213,2014,Indie,10341
17829463213,2014,Simulation,10341
180577,2015,Action,99
18082001,2015,Action,200
18228272828,2013,Action,1242
18481,2015,Indie,323
18481,2015,Simulation,323
1873410337,2014,Indie,870
1873410337,2014,Simulation,870
1873410337,2015,Indie,1740
1873410337,2015,Simulation,1740
187625,2014,Action,244
187625,2015,Action,488
1889999999999999,2014,Indie,1763
1889999999999999,2014,Simulation,1763
19-20-5-20-27-5-18,2015,Indie,16398
19-20-5-20-27-5-18,2015,Simulation,16398
1920410,2014,Action,715
1922001,2014,Action,384
1944086851,2013,Action,8961
194847383,2013,Action,17
194847383,2014,Action,51
1956aa1,2015,Action,8290
195862,2014,Indie,34348
195862,2014,Simulation,34348
195862,2015,Indie,17174
195862,2015,Simulation,17174
1epicninja,2014,Action,484
1epicninja,2015,Action,1452
1iam1iam1iam,2014,Action,260
1iam1iam1iam,2015,Action,260
1jamesn4,2014,Action,0
1silentsniper1,2011,Action,0
1snap,2013,Action,2446
1snap,2014,Action,7338
1snap,2015,Action,4892
1stpionpaul,2015,Indie,0
1stpionpaul,2015,Simulation,0
1v1meguy,2014,Action,236
200220006,2014,Action,274
20041213,2014,Indie,24222
20041213,2014,Simulation,24222
2011368123,2014,Action,42
2080308,2012,Action,488
2080308,2013,Action,488
2092000666,2015,Indie,81448
2092000666,2015,Simulation,81448
210519992016,2014,Action,344
210519992016,2015,Action,344
2222455,2013,Action,23
225544,2013,Action,1199
225544,2015,Action,1199
23012003,2013,Indie,6818
23012003,2013,Simulation,6818
231091,2013,Action,3810
231321455,2013,Action,3068
231321455,2013,Adventure,3068
231321455,2013,Indie,3068
231321455,2013,Rpg,3068
23184798,2015,Indie,21607
23184798,2015,Simulation,21607
23434454365463446754546576e45646,2014,Action,654
235269,2014,Indie,374
235269,2014,Simulation,374
2364786499,2015,Indie,1231
2364786499,2015,Simulation,1231
23745736,2014,Action,1
23745736,2015,Action,1
2390746539217,2013,Action,1213
24453,2014,Action,12
24453,2015,Action,12
2448531,2014,Indie,24086
2448531,2014,Simulation,24086
24596,2014,Action,1616
246823,2014,Action,3843
247211,2014,Indie,5576
247211,2014,Simulation,5576
249758,2013,Indie,15
249758,2013,Simulation,15
2571,2014,Action,1111
2571,2015,Action,3333
26070,2013,Action,77
2608739,2013,Action,14
2647891,2014,Indie,17646
2647891,2014,Simulation,17646
27073108,2014,Action,162
27073108,2015,Action,162
2768820078,2015,Indie,26960
2768820078,2015,Simulation,26960
279519365,2014,Indie,984
279519365,2014,Simulation,984
2891723967123,2014,Indie,5034
2891723967123,2014,Simulation,5034
291129112911291129112911,2012,Action,595
29123,2014,Indie,9864
29123,2014,Simulation,9864
29123,2015,Indie,9864
29123,2015,Simulation,9864
29998000,2015,Action,5358
2d4nk4m3,2014,Action,102
2edgy4youboi,2014,Action,3570
2edgy4youboi,2015,Action,1785
2ez2xl,2014,Indie,1527
2ez2xl,2014,Simulation,1527
2ez2xl,2015,Indie,1527
2ez2xl,2015,Simulation,1527
2ik4tf,2014,Indie,3251
2ik4tf,2014,Simulation,3251
2nerdssemvida,2015,Indie,29046
2nerdssemvida,2015,Simulation,29046
2pacisaliveincuba,2015,Action,98
2sneaky5u,2014,Action,462
2spooky,2014,Action,288
2spooky,2015,Action,96
2v1meyoucheekyscrub,2014,Indie,282
2v1meyoucheekyscrub,2014,Simulation,282
30102002,2014,Indie,1730
30102002,2014,Simulation,1730
3046123,2015,Action,625
31575,2015,Indie,14599
31575,2015,Simulation,14599
317984739321,2014,Action,1008
317984739321,2015,Action,504
3197,2014,Action,813
3197,2015,Action,1626
329838102,2013,Indie,58
329838102,2013,Simulation,58
329838102,2015,Indie,58
329838102,2015,Simulation,58
33334scat,2014,Indie,2706
33334scat,2014,Simulation,2706
33442,2014,Action,9
33442,2014,Free to play,9
33442,2014,Indie,9
334756875,2014,Indie,156
334756875,2014,Simulation,156
3423523425433425,2015,Action,1093
343221221,2013,Action,270
34324132,2015,Action,670
345675,2013,Action,43
345675,2014,Action,43
345675,2015,Action,215
3523436346,2014,Indie,412
3523436346,2014,Simulation,412
3523436346,2015,Indie,412
3523436346,2015,Simulation,412
35475,2015,Action,1924
3548548564856498484894,2015,Action,65
36864,2013,Strategy,4444
36864,2014,Strategy,4444
373848099,2013,Action,28
37755753,2014,Indie,95
37755753,2014,Strategy,95
37755753,2015,Indie,190
37755753,2015,Strategy,190
381644,2015,Action,33
391204566,2012,Action,65241
3dster,2015,Indie,198
3dster,2015,Simulation,198
3th3,2014,Indie,1766
3th3,2014,Simulation,1766
3th3,2015,Indie,1766
3th3,2015,Simulation,1766
3xotic26,2013,Action,110
3xotic26,2014,Action,330
402553929,2015,Action,536
404ok4561687987879847,2014,Action,114370
41781029,2014,Action,305
4200769711,2015,Indie,471
4200769711,2015,Simulation,471
420cheekycunt,2015,Action,2070
420fedora,2012,Action,1888
420fedora,2014,Action,9440
420fedora,2015,Action,1888
420slender,2015,Indie,415
420slender,2015,Simulation,415
4234213234124,2015,Indie,54
4234213234124,2015,Simulation,54
42654264,2013,Strategy,1056
4301945,2013,Action,271
4321louis,2015,Indie,1980
4321louis,2015,Simulation,1980
434238948,2014,Indie,117960
434238948,2014,Simulation,117960
434238948,2015,Indie,29490
434238948,2015,Simulation,29490
434546464,2014,Adventure,1456
434546464,2014,Strategy,1456
434546464,2015,Adventure,2912
434546464,2015,Strategy,2912
44196,2013,Indie,6840
44196,2013,Simulation,6840
44290,2013,Indie,2142
44290,2013,Simulation,2142
44579,2014,Action,607
4545451111,2015,Indie,200
4545451111,2015,Simulation,200
